"Артикул";"Бренд";"Коллекция";"Производство";"Цвет";"Материал";"Основа";"Ширина рулона (м)";"Длина рулона";"Рисунок";"Цена";"Рулон";"img"
"73810722";"Casamance";"Apaches";"Франция";"Белые, Серые, Серебристые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/108/480_480_240cd750bba9870f18aada2478b24840a/108451850107251470285c2849b702e7.png"
"73810824";"Casamance";"Apaches";"Франция";"Бронзовые, Серые, Шоколадные";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/abf/480_480_240cd750bba9870f18aada2478b24840a/abf234fb3e1483fa2936667f28901e64.png"
"73810926";"Casamance";"Apaches";"Франция";"Серые, Бордовые, Серебристые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/d0b/480_480_240cd750bba9870f18aada2478b24840a/d0b6d2707735212ea7b2e7d02ee4802a.png"
"73811232";"Casamance";"Apaches";"Франция";"Ванильные, Шоколадные, Бежевые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/c13/480_480_240cd750bba9870f18aada2478b24840a/c13b9f6e728084225ca77b9f9c327405.png"
"73811130";"Casamance";"Apaches";"Франция";"Бронзовые, Серебристые, Венге";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/e4d/480_480_240cd750bba9870f18aada2478b24840a/e4dfeca003d4e4de45d249e488ac2796.png"
"73811028";"Casamance";"Apaches";"Франция";"Серые, Серебристые, Белые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/086/480_480_240cd750bba9870f18aada2478b24840a/08650299e321fa32024997242bdcbca9.png"
"73811334";"Casamance";"Apaches";"Франция";"Васильковые, Серебристые, Лазурные";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/927/480_480_240cd750bba9870f18aada2478b24840a/92702c74298cd61090855dcd87ac1c70.png"
"73811436";"Casamance";"Apaches";"Франция";"Васильковые, Синие, Голубые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/9fa/480_480_240cd750bba9870f18aada2478b24840a/9fa4c7ecfb825d1350f01d6d53c13507.png"
"73811538";"Casamance";"Apaches";"Франция";"Серые, Белые, Серебристые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/e4c/480_480_240cd750bba9870f18aada2478b24840a/e4c24a6c0a69d241d31b77cf2964f1cb.png"
"73811640";"Casamance";"Apaches";"Франция";"Зелёные, Оливковые, Серые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/06d/480_480_240cd750bba9870f18aada2478b24840a/06dd3b6a590b21c8a6a4d9e091fab83a.png"
"73811742";"Casamance";"Apaches";"Франция";"Зелёные, Фисташковые, Салатовые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/37d/480_480_240cd750bba9870f18aada2478b24840a/37df80d4d46bd0236c120c8a9ff7368e.png"
"73811946";"Casamance";"Apaches";"Франция";"Венге, Бежевые, Терракотовые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/273/480_480_240cd750bba9870f18aada2478b24840a/27351ee08301a83cb8d31d3852c523dd.png"
"73811844";"Casamance";"Apaches";"Франция";"Кремовые, Песочные, Коричневые";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/dfb/480_480_240cd750bba9870f18aada2478b24840a/dfb08ba2f42eaa499dd4f2d966f357f7.png"
"73812048";"Casamance";"Apaches";"Франция";"Малиновые, Вишнёвые, Красные";"Виниловые";"Флизелин";"0,7, Узкие";"10,05";"Под ткань";"5450";"Рулон";"/upload/resize_cache/iblock/88c/480_480_240cd750bba9870f18aada2478b24840a/88c13eb2cba149695e058ed38eb59162.png"
